Terminal;StationsID;Bez;Bezirk; Station; Lage; Boxen; Status
307;1105;130;1030;Kundmanngasse;Kundmanngasse vor 2;27;aktiv
308;1123;130;1030;Bahngasse;Zwischen Linker Bahngasse 11 (Musikuniversitaet)und Rechter Bahngasse 14;30;aktiv
309;1118;130;1030;Juchgasse;;24;aktiv
311;1127;130;1030;Petrusgasse;Landstraﬂer Hauptstraﬂe vor 146;28;aktiv
313;1128;130;1030;Wien Mitte;Landstraﬂer Hauptstraﬂe vor 2B, an der Kreuzung Invalidenstraﬂe;28;aktiv
401;1067;140;1040;Treitlstrasse;Vor der TU-Bibliothek, U-Bahn Karlsplatz;20;aktiv
402;1104;140;1040;Mayerhofgasse;Wiedner Hauptstraﬂe vor 49;19;aktiv
403;1125;140;1040;Sankt-Elisabeth-Platz;Sankt-Elisabeth-Platz gegenueber 1;21;aktiv
404;1116;140;1040;Heumuehlgasse;Ecke Margaretenstraﬂe 44;20;aktiv
501;1041;150;1050;Pilgramgasse U4;Hamburgerstrasse  U4 Station Pilgramgasse;16;aktiv
502;1042;150;1050;Falco Stiege;Kettenbrueckengasse  U4 Station Kettenbrueckengasse - Ausgang Eggerthgasse;17;aktiv
503;1052;150;1050;Margaretenguertel U4;St. Johann Park  U4 Station Margaretenguertel;30;aktiv
504;1050;150;1050;Arbeitergasse;Margaretenguertel Ecke Arbeitergassebei Busstation;20;aktiv
505;1056;150;1050;Reinprechtsdorfer Bruecke;Rechte Wienzeile Ecke Reinprechtsdorferstrasse;20;aktiv
506;1064;150;1050;Hartmanngasse;vor Wiedner Hauptstraﬂe 92;26;aktiv
507;1107;150;1050;Siebenbrunnenplatz;Siebenbrunnenplatz vor 5;26;aktiv
